geoid,name,B19013001,"B19013001, Error"
14000US12095016903,"Census Tract 169.03, Orange, FL",34239,5082
14000US12095016904,"Census Tract 169.04, Orange, FL",32017,3403
14000US12095016906,"Census Tract 169.06, Orange, FL",23942,3285
14000US12095016907,"Census Tract 169.07, Orange, FL",27000,3787
14000US12095017001,"Census Tract 170.01, Orange, FL",44157,5234
14000US12095017004,"Census Tract 170.04, Orange, FL",39107,11256
14000US12095017006,"Census Tract 170.06, Orange, FL",71440,9701
14000US12095017008,"Census Tract 170.08, Orange, FL",42963,8098
14000US12095017011,"Census Tract 170.11, Orange, FL",51265,6561
14000US12095017012,"Census Tract 170.12, Orange, FL",65304,7339
14000US12095017013,"Census Tract 170.13, Orange, FL",52647,5848
14000US12095017014,"Census Tract 170.14, Orange, FL",56512,5758
14000US12095017015,"Census Tract 170.15, Orange, FL",67375,10003
14000US12095017016,"Census Tract 170.16, Orange, FL",62809,5789
14000US12095017017,"Census Tract 170.17, Orange, FL",42270,5440
14000US12095017103,"Census Tract 171.03, Orange, FL",63038,4306
14000US12095017104,"Census Tract 171.04, Orange, FL",92167,17512
14000US12095017105,"Census Tract 171.05, Orange, FL",108043,9638
14000US12095017107,"Census Tract 171.07, Orange, FL",101250,22720
14000US12095017108,"Census Tract 171.08, Orange, FL",77785,10692
14000US12095017109,"Census Tract 171.09, Orange, FL",110759,34146
14000US12095017200,"Census Tract 172, Orange, FL",47543,7812
14000US12095017300,"Census Tract 173, Orange, FL",36301,8742
14000US12095017400,"Census Tract 174, Orange, FL",56215,7875
14000US12095017501,"Census Tract 175.01, Orange, FL",59268,18146
14000US12095017503,"Census Tract 175.03, Orange, FL",35417,10204
14000US12095017504,"Census Tract 175.04, Orange, FL",56352,4057
14000US12095017600,"Census Tract 176, Orange, FL",33288,5542
14000US12095017701,"Census Tract 177.01, Orange, FL",58932,19577
14000US12095017702,"Census Tract 177.02, Orange, FL",78125,12194
14000US12095017703,"Census Tract 177.03, Orange, FL",37188,7371
14000US12095017802,"Census Tract 178.02, Orange, FL",68514,10656
14000US12095017804,"Census Tract 178.04, Orange, FL",57000,19758
14000US12095017805,"Census Tract 178.05, Orange, FL",53080,16905
14000US12095017806,"Census Tract 178.06, Orange, FL",68649,7984
14000US12095017807,"Census Tract 178.07, Orange, FL",44694,7614
14000US12095017808,"Census Tract 178.08, Orange, FL",82527,17485
14000US12095017901,"Census Tract 179.01, Orange, FL",68090,11755
14000US12095017902,"Census Tract 179.02, Orange, FL",51033,8932
14000US12095018000,"Census Tract 180, Orange, FL",36856,8778
14000US12095018100,"Census Tract 181, Orange, FL",49831,5765
14000US12095018200,"Census Tract 182, Orange, FL",65459,9082
14000US12095018300,"Census Tract 183, Orange, FL",34063,10831
14000US12095018400,"Census Tract 184, Orange, FL",46918,6620
14000US12095018500,"Census Tract 185, Orange, FL",26301,9466
14000US12095018700,"Census Tract 187, Orange, FL",21568,6494
14000US12095018800,"Census Tract 188, Orange, FL",60066,5471
14000US12095018900,"Census Tract 189, Orange, FL",40412,14547
14000US12095990000,"Census Tract 9900, Orange, FL",0,0
