Year,Date,City,Nonfatal_Fatal,Age,Age_Category,Sex,Water_Body,County,Timecat,Time,Victim_Activity,Gator_Fed,Dog_Present,Body_Part_Bitten,Injury_Severity_LowMedHigh,GatorLength_MeasuredOrEst,Length_Feet,Length_Inches,Weight_Lbs,Gator_Sex,GatorObserved_PriorToBite,GatorObserved_DuringBite,VictimStateResidence,AlcoholOrDrugs
1994,24-Jul-94,Lake Buena Vista,N,59,A,M,"Walt Disney World, canal",Orange,Aft,1330,Swimming,N,N,"Hand, right",L,E,6,,,,N,N,Florida,
1994,29-Jul-94,Dade City,N,32,A,M,Lake Hancock,Pasco,Aft,1645,Wading,N,N,"Leg, thigh (front and back)",L,E,5,,,,N,N,Florida,
1994,13-Aug-94,Deland,N,61,A,F,Lake Beresford,Volusia,Aft,1445,Boating,N,N,Foot,M,E,7,6,,,N,N,Florida,
1994,05-Sep-94,Crawfordville,N,46,A,M,Wakulla River,Wakulla,Aft,1530,Swimming,N,N,Right shoulder,M,,,,,,N,Y,Florida,N
1994,25-Sep-94,Hudson,N,22,A,M,Unnamed pond,Pasco,Aft,1700,Other,N,N,Thumb and hand,M,E,2,6,,,N,Y,Florida,
1994,09-Dec-94,Naples,N,,A,M,Unnamed pond,Collier,Mor,1030,Swimming,N,N,"Hand, left",L,E,3,6,,,N,N,Florida,
1995,19-Apr-95,Gainesville,N,7,C,M,Sweetwater Branch,Alachua,Aft,1630,Swimming,N,N,"Torso, chest and shoulders",H,M,10,,,M,N,Y,Florida,
1995,30-Apr-95,Naples,N,68,A,M,Unnamed pond,Collier,Mor,1100,Walking,N,N,"Leg, ankle and calf, left",M,,7,6,,,N,Y,Florida,
1995,23-May-95,Ft. Meade,N,23,A,M,Unnamed phosphate pit,Polk,Aft,1300,Wading,N,N,"Leg and ankle, left",M,M,9,7,,M,N,Y,Florida,
1995,28-May-95,Dade City,N,32,A,M,Withlacoochee River - River Park,Pasco,Mor,1130,Wading,N,N,"Leg, thigh",M,E,8,,,,Y,Y,Florida,
1995,12-Jun-95,Kissimmee,N,10,C,M,Unnamed pond,Osceola,Aft,1500,Wading,N,N,"Finger, ring on right hand",L,M,3,7,,M,N,Y,,
1995,11-Jul-95,Bradenton,N,17,T,M,Unnamed pond,Sarasota,Aft,1430,Snorkeling,N,N,"Arm, forearm",L,E,7,6,,,N,Y,Florida,
1995,23-Jul-95,Cocoa Beach,N,18,A,M,Unnamed pond,Brevard,Nit,2345,Wading,N,N,Left calf and left wrist,M,M,8,0,300,M,N,N,Florida,N
1995,05-Aug-95,Bonita Springs,N,22,A,M,Poorman's Canal,Lee,Aft,1630,Swimming,N,N,Hand,M,E,4,,,,N,Y,Florida,
1995,02-Sep-95,Punta Gorda,N,16,T,M,Unnamed lake,Charlotte,Eve,1800,Swimming,N,N,Foot,M,E,5,,,,N,Y,Florida,
1995,04-Sep-95,Ft. Myers,N,30,A,M,Unnamed pond,Lee,Mor,1000,Wading,Y,N,Finger,L,E,5,,,,N,Y,Florida,
1995,23-Sep-95,Olustee,N,10,C,M,Ocean Pond,Baker,Aft,1700,Swimming,N,N,Torso (upper chest and back),M,M,8,3,,M,Y,Y,Florida,
1995,05-Oct-95,Everglades City,N,,A,F,,Dade,Mor,600,Walking,N,N,"Leg, knee",M,E,7,6,,,N,Y,Florida,
1995,19-Nov-95,Bushnell,N,29,A,M,Tram Grade,Sumter,Aft,1530,Wading,N,N,"Leg, thigh",L,M,8,1,,M,N,Y,Florida,
1996,26-Apr-96,Merritt Island,N,37,A,M,Unnamed pond,Brevard,Mor,1000,Diving,N,N,"Leg, calf",L,M,10,1,,M,Y,,Florida,
1996,18-May-96,Lake Placid,N,68,A,M,Lake Istokpoga,Highlands,Aft,1445,Boating,N,N,"Leg, knee",M,E,5,,,,N,Y,Florida,
1996,11-Jun-96,Starke,N,37,A,M,Sampson Lake,Bradford,Nit,2300,Swimming,N,N,Head (face) and hands,M,E,6,,,,Y,Y,Florida,Y
1996,14-Jul-96,Pinecrest,D,7,C,M,Shark Valley,Dade,Aft,1800,Other,N,N,Chest and arm,H,E,10,,,,N,Y,Brazil,
1996,17-Sep-96,West Palm Beach,N,53,A,M,Unnamed lake,Palm Beach,Aft,1700,Other,Y,N,fingers and thumb on right hand,M,M,9,,,F,Y,Y,Florida,
1996,18-Oct-96,Jacksonville,N,34,A,F,Unnamed retention pond,Duval,Mor,930,Other,,N,Left toe,L,E,3,,,,Y,Y,Florida,
1997,28-Feb-97,Tampa,N,31,A,M,Unnamed retention pond,Hillsborough,Eve,2030,Wading,N,N,left and right side of head,M,E,5,,,,N,Y,Florida,
1997,03-Mar-97,Bradenton,N,13,T,M,Unnamed pond,Manatee,Aft,1800,Wading,N,N,right hand,L,M,6,9,,,N,Y,Florida,
1997,07-Mar-97,Delray Beach,N,37,A,M,Unnamed pond,Palm Beach,Aft,1400,Other,,N,Right hand,M,E,10,,,,Y,Y,Rhode Island,U
1997,21-Mar-97,Osteen,F,3,C,M,Lake Ashby,Volusia,Aft,1245,Wading,,Y,"left shoulder, upper right thigh",H,M,11,0,342,M,N,N,Florida,N
1997,29-Sep-97,Salt Springs,N,35,A,M,Juniper Creek,Marion,Aft,1530,Snorkeling,N,N,Neck,H,M,11,8,450,M,N,Y,Florida,Y
1998,26-May-98,Sneads,N,43,A,M,Lake Seminole,Jackson,Aft,1600,Fishing,N,N,Right hand,L,E,6,,,,,Y,Florida,
1998,31-May-98,Lakeland,N,5,C,F,Skyview Lake,Polk,Aft,1645,Swimming,N,N,"Arm, torso, and neck",M,E,10,,,,N,Y,Florida,
1998,06-Jun-98,Ponte Vedra Beach,N,9,C,M,Unnamed pond,St. Johns,Aft,1430,Wading,Y,N,Back,L,M,5,7,,,,Y,Florida,
1998,21-Jun-98,Wewahitchka,N,36,A,M,Chipola Cutoff,Gulf,Eve,2000,Swimming,,N,Right thumb and hand,M,E,10,,,,N,Y,Florida,
